Serial,Asteroid,Dens,Error
1,Ceres,2.12,0.04
2,Pallas,2.71,0.11
4,Vesta,3.44,0.12
10,Hygiea,2.76,1.2
11,Parthenope,2.72,0.12
15,Eunomia,0.96,0.3
16,Psyche,2,0.6
20,Massalia,3.26,0.6
22,Kalliope,2.5,0.3
45,Eugenia,1.2,0.4
87,Sylvia,1.62,0.3
90,Antiope,1.3,0
121,Hermione,1.96,0.34
243,Ida,2.6,0.5
253,Mathilde,1.3,0.2
433,Eros,2.67,0.03
704,Interamnia,4.4,2.1
762,Pulcova,1.8,0.8
804,Hispania,4.9,3.9
1999,KW4,2.39,0.9
2000,DP107,1.62,1.05
2000,UG11,1.47,0.95
854,Frostia,0.89,0.13
1089,Tama,2.52,0.3
1313,Berna,1.21,0.25
4492,Debussy,0.9,0.1
617,Patroclus,0.8,0.15
